category,item,store,date,week,units,forecast
Juices,57285,1680,2018-08-01,2018-07-26,2.0,1.3988036069999998
Juices,57430,1680,2018-08-01,2018-07-26,0.0,0.129085964
Juices,57430,99280,2018-08-01,2018-07-26,0.0,0.903601751
Juices,57430,122560,2018-08-01,2018-07-26,2.0,1.290859645
Juices,57435,1680,2018-08-01,2018-07-26,1.0,0.35744949600000003
Juices,57435,99280,2018-08-01,2018-07-26,0.0,0.779889809
Juices,57435,122560,2018-08-01,2018-07-26,0.0,0.8448806259999999
Juices,57440,1680,2018-08-01,2018-07-26,1.0,0.293038967
Juices,57440,99280,2018-08-01,2018-07-26,1.0,0.659337677
Juices,57440,122560,2018-08-01,2018-07-26,0.0,0.21977922600000002
Juices,57445,1680,2018-08-01,2018-07-26,0.0,0.296713793
Juices,57445,99280,2018-08-01,2018-07-26,0.0,0.24276583100000002
Juices,57445,122560,2018-08-01,2018-07-26,1.0,0.6473755489999999
Juices,57475,1680,2018-08-01,2018-07-26,0.0,0.328296729
Juices,57475,99280,2018-08-01,2018-07-26,0.0,0.328296729
Juices,57475,122560,2018-08-01,2018-07-26,0.0,0.291819315
Juices,57525,1680,2018-08-01,2018-07-26,0.0,1.3084295
Juices,57525,99280,2018-08-01,2018-07-26,2.0,1.085718096
Juices,57525,122560,2018-08-01,2018-07-26,4.0,2.338469744
Juices,57580,1680,2018-08-01,2018-07-26,1.0,0.604031011
Juices,57580,99280,2018-08-01,2018-07-26,0.0,0.6969588590000001
Juices,57585,1680,2018-08-01,2018-07-26,0.0,0.21868210100000002
Juices,57585,99280,2018-08-01,2018-07-26,0.0,0.328023152
Juices,57585,122560,2018-08-01,2018-07-26,0.0,0.041002894
Juices,57600,1680,2018-08-01,2018-07-26,0.0,0.841690752
Juices,57600,99280,2018-08-01,2018-07-26,0.0,0.70140896
Juices,57600,122560,2018-08-01,2018-07-26,0.0,0.420845376
Juices,57605,1680,2018-08-01,2018-07-26,0.0,0.959139521
Juices,57605,99280,2018-08-01,2018-07-26,0.0,0.959139521
Juices,57605,122560,2018-08-01,2018-07-26,0.0,0.368899816
Juices,57645,1680,2018-08-01,2018-07-26,2.0,0.46028077100000003
Juices,57645,99280,2018-08-01,2018-07-26,1.0,0.9476368820000001
Juices,57645,122560,2018-08-01,2018-07-26,0.0,0.35197941299999996
Juices,57650,1680,2018-08-01,2018-07-26,0.0,0.424419744
Juices,57650,99280,2018-08-01,2018-07-26,4.0,1.379364169
Juices,57650,122560,2018-08-01,2018-07-26,4.0,1.8303101469999998
Juices,57655,1680,2018-08-01,2018-07-26,0.0,0.610717993
Juices,57655,122560,2018-08-01,2018-07-26,0.0,1.145096237
Juices,57665,1680,2018-08-01,2018-07-26,0.0,1.272084843
Juices,57665,99280,2018-08-01,2018-07-26,0.0,1.076379483
Juices,57665,122560,2018-08-01,2018-07-26,0.0,0.48926340100000004
Juices,57670,1680,2018-08-01,2018-07-26,0.0,0.8681848320000001
Juices,57670,99280,2018-08-01,2018-07-26,0.0,0.833457439
Juices,57670,122560,2018-08-01,2018-07-26,0.0,0.659820472
Juices,57685,1680,2018-08-01,2018-07-26,0.0,0.883162757
Juices,57685,99280,2018-08-01,2018-07-26,0.0,0.912601515
Juices,57685,122560,2018-08-01,2018-07-26,0.0,0.35326510299999997
Juices,57745,1680,2018-08-01,2018-07-26,0.0,0.33432820399999996
Juices,57745,99280,2018-08-01,2018-07-26,1.0,0.325969999
Juices,57810,1680,2018-08-01,2018-07-26,0.0,0.635019178
Juices,57810,99280,2018-08-01,2018-07-26,1.0,0.401064744
Juices,57810,122560,2018-08-01,2018-07-26,1.0,0.33422062
Juices,60805,1680,2018-08-01,2018-07-26,2.0,1.9996271140000001
Juices,60805,99280,2018-08-01,2018-07-26,2.0,2.092873974
Juices,60805,122560,2018-08-01,2018-07-26,0.0,0.424791252
Juices,60825,1680,2018-08-01,2018-07-26,3.0,0.329428364
Juices,60825,99280,2018-08-01,2018-07-26,0.0,0.443461259
Juices,60825,122560,2018-08-01,2018-07-26,0.0,0.177384504
Juices,60840,1680,2018-08-01,2018-07-26,2.0,1.285523565
Juices,60840,99280,2018-08-01,2018-07-26,0.0,0.7251671390000001
Juices,60840,122560,2018-08-01,2018-07-26,0.0,0.39554571200000005
Juices,60850,1680,2018-08-01,2018-07-26,2.0,1.8202501
Juices,60850,99280,2018-08-01,2018-07-26,1.0,0.8935773220000001
Juices,60850,122560,2018-08-01,2018-07-26,1.0,0.496431846
Juices,60865,1680,2018-08-01,2018-07-26,0.0,0.526915592
Juices,60865,99280,2018-08-01,2018-07-26,2.0,0.9018363009999999
Juices,60865,122560,2018-08-01,2018-07-26,0.0,0.222925827
Juices,60940,1680,2018-08-01,2018-07-26,3.0,1.282392457
Juices,60940,99280,2018-08-01,2018-07-26,4.0,1.77786227
Juices,60940,122560,2018-08-01,2018-07-26,1.0,0.7577773609999999
Juices,60950,1680,2018-08-01,2018-07-26,18.0,14.01652421
Juices,60950,99280,2018-08-01,2018-07-26,8.0,20.97087661
Juices,60950,122560,2018-08-01,2018-07-26,6.0,13.36960771
Juices,60955,1680,2018-08-01,2018-07-26,1.0,0.609459637
Juices,60955,99280,2018-08-01,2018-07-26,0.0,0.515696616
Juices,60955,122560,2018-08-01,2018-07-26,0.0,0.7501041690000001
