cust_id,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
4402,168,1,24.99,4,1,1,411
11248,168,6,194.75,4,5,5,455
12064,168,2,93.97999999999999,4,3,4,434
15088,168,5,231.95,4,5,5,455
66706,72,3,75.78,5,4,3,543
106895,7,7,238.34999999999997,5,5,5,555
107581,168,1,14.99,4,1,1,411
116001,77,4,160.06000000000003,5,4,5,545
126169,168,1,23.99,4,1,1,411
139693,168,1,13.99,4,1,1,411
149925,168,2,48.980000000000004,4,3,2,432
151879,168,2,66.98,4,3,3,433
159853,168,1,58.79,4,1,3,413
164855,168,1,15.99,4,1,1,411
187653,168,1,109.95,4,1,4,414
204348,168,1,8.99,4,1,1,411
285554,168,1,103.95,4,1,4,414
288941,8,10,444.36,5,5,5,555
298867,168,1,23.99,4,1,1,411
377631,168,1,23.7,4,1,1,411
440432,168,1,4.19,4,1,1,411
449146,168,1,25.99,4,1,1,411
465909,168,1,22.99,4,1,1,411
500708,168,6,256.94,4,5,5,455
505502,168,2,65.98,4,3,3,433
510474,168,1,27.99,4,1,1,411
527516,168,2,47.98,4,3,2,432
549862,168,4,157.95,4,4,5,445
555295,168,2,66.47,4,3,3,433
558658,168,3,23.89,4,4,1,441
561732,168,1,66.99,4,1,3,413
578310,168,1,56.99,4,1,3,413
605632,168,1,155.95,4,1,5,415
614661,112,3,143.27,5,4,5,545
617098,168,3,141.37,4,4,5,445
619017,168,1,98.99,4,1,4,414
621392,168,2,103.97999999999999,4,3,4,434
632371,168,3,162.93,4,4,5,445
633546,168,1,71.99,4,1,3,413
636521,65,2,79.98,5,3,4,534
650537,168,1,41.99,4,1,2,412
661560,168,2,100.38999999999999,4,3,4,434
689576,168,1,60.99,4,1,3,413
729100,168,1,27.49,4,1,1,411
759655,168,1,62.99,4,1,3,413
803592,168,1,57.39,4,1,3,413
828541,168,1,65.99,4,1,3,413
967361,89,5,160.95,5,5,5,555
967727,168,1,53.99,4,1,3,413
968379,168,2,31.979999999999997,4,3,2,432
969945,168,1,28.79,4,1,1,411
1003315,168,2,37.98,4,3,2,432
1031371,168,1,78.99,4,1,4,414
1031472,168,1,84.99,4,1,4,414
1062002,168,2,127.97999999999999,4,3,4,434
1098125,168,3,94.97,4,4,4,444
1215814,168,2,178.94,4,3,5,435
1244782,73,5,156.91000000000003,5,5,5,555
1258931,168,1,78.99,4,1,4,414
1264766,85,5,242.95000000000002,5,5,5,555
1269077,168,1,50.99,4,1,2,412
1269339,168,2,67.98,4,3,3,433
1277628,168,1,31.99,4,1,2,412
1287312,43,3,133.87,5,4,5,545
1289733,168,1,42.69,4,1,2,412
1306139,168,7,199.23,4,5,5,455
1340160,168,1,70.99,4,1,3,413
1381555,168,1,71.99,4,1,3,413
1407447,168,1,31.99,4,1,2,412
1416185,87,5,387.87,5,5,5,555
1418030,168,1,93.99,4,1,4,414
1443027,168,2,44.519999999999996,4,3,2,432
1525124,168,1,31.99,4,1,2,412
1526283,168,1,34.99,4,1,2,412
1553211,121,5,123.46,5,5,4,554
1553648,9,13,478.87000000000006,5,5,5,555
1569592,168,2,61.980000000000004,4,3,3,433
1585606,168,5,77.36999999999999,4,5,3,453
