Customer ID,Current Base Fee,# of Users,SMS Reminders,Accounting Sync,Chemical Tracking,ePayments,L12M Revenue
36,$50.00 ,3,N,Y,N,Y,"$14,187.33 "
290,$50.00 ,9,N,Y,N,Y,"$254,639.93 "
685,$50.00 ,3,Y,N,Y,Y,"$321,051.22 "
727,$30.00 ,10,N,N,Y,Y,"$6,068.19 "
927,$30.00 ,10,N,Y,N,N,"$221,256.50 "
1665,$50.00 ,2,N,Y,Y,Y,"$80,862.12 "
2043,$30.00 ,5,Y,Y,N,Y,"$457,833.71 "
3361,$30.00 ,7,N,Y,Y,N,"$128,592.62 "
4810,$30.00 ,1,N,N,N,N,"$371,712.12 "
5644,$50.00 ,10,N,Y,N,Y,"$55,547.01 "
6196,$30.00 ,5,N,N,N,N,"$29,891.78 "
8122,$50.00 ,6,Y,Y,N,Y,"$155,151.82 "
8311,$50.00 ,1,Y,Y,N,Y,"$118,913.53 "
12504,$50.00 ,1,N,Y,N,Y,"$101,023.22 "
12896,$50.00 ,14,N,N,N,N,"$473,092.15 "
12938,$30.00 ,9,N,Y,N,N,"$402,470.97 "
13172,$50.00 ,1,Y,N,N,N,"$258,089.71 "
13422,$50.00 ,2,N,Y,N,N,"$320,310.58 "
13590,$30.00 ,10,N,N,N,Y,"$162,328.86 "
14831,$50.00 ,7,N,N,Y,Y,"$87,143.77 "
15104,$50.00 ,2,N,Y,N,N,"$163,354.20 "
15233,$30.00 ,5,N,Y,N,Y,"$137,052.58 "
16322,$50.00 ,1,N,Y,N,N,"$11,759.88 "
16965,$50.00 ,3,N,N,N,Y,"$149,962.46 "
19401,$50.00 ,9,N,N,N,Y,"$92,874.48 "
23829,$50.00 ,1,N,N,N,N,"$425,649.94 "
24570,$50.00 ,1,N,Y,N,N,"$81,997.14 "
24717,$50.00 ,6,N,Y,N,Y,"$126,165.23 "
27053,$50.00 ,15,N,N,N,N,"$64,660.58 "
27131,$50.00 ,7,N,Y,N,Y,"$41,293.53 "
27808,$50.00 ,12,N,Y,N,N,"$328,379.60 "
27812,$50.00 ,7,Y,Y,N,N,"$267,738.17 "
28238,$50.00 ,15,N,Y,Y,Y,"$133,158.25 "
28588,$50.00 ,1,N,Y,N,Y,"$366,671.51 "
30212,$30.00 ,1,Y,N,N,N,"$447,846.97 "
31633,$50.00 ,3,N,Y,N,Y,"$253,425.56 "
31910,$50.00 ,1,N,N,Y,N,"$398,635.84 "
32567,$30.00 ,5,N,Y,N,Y,"$340,397.81 "
33459,$50.00 ,9,Y,Y,N,N,"$290,026.03 "
34461,$50.00 ,2,N,Y,N,N,"$53,429.45 "
38072,$50.00 ,2,N,N,N,N,"$83,639.20 "
39212,$50.00 ,10,Y,N,N,N,"$256,553.61 "
39351,$50.00 ,7,N,Y,Y,Y,"$58,188.59 "
40119,$50.00 ,1,N,Y,N,Y,"$3,818.34 "
40842,$50.00 ,1,Y,Y,Y,N,"$390,459.45 "
42585,$50.00 ,1,N,Y,N,Y,"$150,432.37 "
42812,$50.00 ,1,N,Y,N,Y,"$278,870.93 "
43305,$50.00 ,1,N,Y,N,Y,"$318,894.83 "
43404,$50.00 ,9,N,Y,N,Y,"$262,711.62 "
43997,$50.00 ,1,Y,N,N,Y,"$64,243.60 "
45445,$50.00 ,3,N,N,N,N,"$122,373.20 "
45547,$30.00 ,6,N,Y,N,N,"$318,544.36 "
45711,$50.00 ,20,N,Y,N,N,"$450,542.44 "
49203,$50.00 ,1,N,N,N,Y,"$346,203.17 "
49720,$50.00 ,14,N,Y,N,N,"$451,401.60 "
49943,$50.00 ,1,N,N,N,N,"$176,253.99 "
50323,$50.00 ,7,N,Y,Y,N,"$105,853.04 "
51855,$50.00 ,20,N,Y,Y,N,"$275,790.35 "
52904,$50.00 ,3,N,Y,N,N,"$291,843.99 "
54757,$50.00 ,2,Y,Y,N,N,"$231,164.45 "
56290,$30.00 ,2,N,N,N,Y,"$27,496.96 "
57121,$50.00 ,9,Y,N,Y,N,"$14,180.58 "
58376,$50.00 ,2,N,Y,N,N,"$298,849.48 "
58427,$50.00 ,10,N,N,N,Y,"$66,501.94 "
60132,$50.00 ,9,N,Y,N,N,"$372,237.32 "
61374,$50.00 ,2,N,Y,N,Y,"$316,127.17 "
62238,$50.00 ,1,N,Y,N,N,"$83,384.46 "
63521,$50.00 ,12,Y,N,N,Y,$332.53 
64940,$50.00 ,10,Y,Y,N,N,"$322,552.41 "
65506,$30.00 ,2,N,N,N,Y,"$417,199.28 "
65925,$50.00 ,10,Y,Y,N,Y,"$346,802.47 "
66311,$50.00 ,1,N,N,N,N,"$468,297.23 "
66325,$30.00 ,7,N,N,N,N,"$114,620.52 "
68138,$30.00 ,1,N,N,N,N,"$174,859.23 "
68502,$50.00 ,3,N,N,N,N,"$296,494.19 "
69638,$50.00 ,6,Y,Y,N,Y,"$389,442.52 "
70673,$50.00 ,7,N,Y,N,N,"$121,134.74 "
71334,$50.00 ,10,N,N,N,Y,"$392,444.99 "
71580,$50.00 ,1,Y,Y,Y,Y,"$217,080.57 "
71876,$30.00 ,1,N,N,N,Y,"$42,257.96 "
72018,$50.00 ,2,N,N,N,N,"$387,133.07 "
73180,$50.00 ,9,Y,Y,N,N,"$15,331.08 "
75647,$50.00 ,1,N,Y,N,Y,"$116,568.67 "
76571,$50.00 ,2,N,N,N,N,"$482,480.00 "
77959,$30.00 ,3,N,Y,N,N,"$295,900.03 "
78895,$30.00 ,6,N,Y,N,N,"$112,888.39 "
78993,$50.00 ,5,N,N,N,Y,"$462,682.32 "
79371,$50.00 ,3,N,N,N,N,"$260,261.72 "
79712,$30.00 ,6,N,Y,N,Y,"$21,083.07 "
83556,$50.00 ,3,N,N,N,N,"$248,927.04 "
84705,$50.00 ,9,N,N,Y,N,"$437,050.98 "
86508,$50.00 ,6,N,N,N,Y,"$237,155.47 "
87063,$50.00 ,1,N,Y,N,N,"$391,395.21 "
90517,$50.00 ,6,N,Y,N,N,"$462,229.71 "
90809,$50.00 ,10,N,Y,N,Y,"$168,673.17 "
92156,$50.00 ,10,Y,N,N,Y,"$358,707.01 "
92168,$50.00 ,1,N,N,N,N,"$304,743.68 "
92864,$50.00 ,3,Y,Y,N,Y,"$313,997.86 "
93191,$30.00 ,2,N,N,N,Y,"$163,563.38 "
94043,$50.00 ,6,Y,Y,N,Y,"$461,181.37 "
95013,$30.00 ,6,N,N,N,Y,"$447,924.08 "
96506,$50.00 ,7,N,Y,N,Y,"$23,629.92 "
96834,$50.00 ,3,Y,N,N,Y,"$300,576.52 "
99900,$30.00 ,17,N,N,N,Y,"$209,593.16 "
100055,$50.00 ,10,N,N,N,Y,"$420,966.08 "
100120,$50.00 ,3,Y,Y,Y,Y,"$118,219.34 "
100144,$50.00 ,5,N,Y,N,Y,"$201,556.18 "
101549,$50.00 ,1,N,N,Y,N,"$359,678.42 "
102042,$50.00 ,1,N,Y,N,Y,"$217,562.15 "
103304,$50.00 ,1,Y,N,Y,N,"$471,452.15 "
106146,$50.00 ,6,N,Y,N,N,"$114,558.26 "
107567,$50.00 ,1,N,N,Y,Y,"$132,808.14 "
108625,$50.00 ,1,Y,Y,N,N,"$490,597.23 "
108895,$50.00 ,2,N,Y,N,N,"$84,062.04 "
109059,$50.00 ,9,N,Y,N,Y,"$61,290.96 "
113932,$50.00 ,9,N,Y,N,N,"$261,644.23 "
114757,$50.00 ,1,N,Y,N,N,"$497,652.07 "
115940,$50.00 ,1,Y,N,N,N,"$34,036.21 "
115976,$30.00 ,9,Y,Y,N,N,"$130,643.13 "
116802,$50.00 ,7,N,Y,N,N,"$289,670.34 "
121448,$30.00 ,10,N,Y,N,N,"$332,424.36 "
121665,$30.00 ,3,Y,Y,Y,Y,"$454,512.78 "
123227,$50.00 ,1,N,Y,Y,N,"$270,051.95 "
124285,$30.00 ,6,Y,Y,N,Y,"$139,868.78 "
125575,$30.00 ,2,N,Y,N,Y,"$108,099.25 "
125903,$50.00 ,7,Y,N,N,N,"$312,961.14 "
127141,$50.00 ,3,Y,N,Y,N,"$492,560.07 "
128060,$50.00 ,1,N,Y,N,Y,"$407,952.62 "
128985,$50.00 ,1,N,N,Y,Y,"$152,947.95 "
129807,$50.00 ,3,Y,N,N,N,"$360,511.71 "
131254,$50.00 ,2,Y,Y,Y,Y,"$128,244.43 "
131627,$50.00 ,6,Y,Y,N,N,"$327,232.70 "
132634,$50.00 ,7,N,Y,N,Y,"$133,403.07 "
134436,$50.00 ,3,Y,N,N,Y,"$466,628.28 "
134588,$50.00 ,1,N,N,N,Y,"$105,043.70 "
136420,$30.00 ,7,Y,Y,N,Y,"$133,297.22 "
136723,$50.00 ,10,Y,Y,N,N,"$211,989.85 "
137757,$50.00 ,1,N,Y,N,Y,"$222,324.68 "
138309,$50.00 ,8,N,N,N,N,"$409,968.98 "
138759,$50.00 ,9,Y,N,N,Y,"$469,621.78 "
140087,$50.00 ,6,N,N,Y,N,"$454,247.67 "
140635,$50.00 ,1,N,Y,N,Y,"$487,306.94 "
142687,$50.00 ,9,N,Y,N,Y,"$221,325.13 "
143012,$30.00 ,2,Y,N,N,N,"$334,262.15 "
143524,$50.00 ,10,Y,N,N,N,"$416,820.32 "
143979,$50.00 ,8,N,N,N,Y,"$278,676.69 "
144810,$50.00 ,7,N,Y,Y,N,"$18,992.03 "
145678,$30.00 ,7,N,N,N,Y,"$207,194.68 "
146842,$30.00 ,5,N,N,N,Y,"$475,690.06 "
146984,$30.00 ,6,N,Y,N,Y,"$24,628.07 "
148144,$50.00 ,1,N,Y,Y,N,"$499,434.10 "
148195,$50.00 ,1,N,N,N,N,"$117,402.33 "
151037,$50.00 ,7,N,Y,N,N,"$1,134.09 "
152009,$50.00 ,6,N,N,N,Y,"$16,635.07 "
152800,$30.00 ,8,N,N,Y,N,"$448,261.20 "
152893,$50.00 ,17,N,Y,N,Y,"$357,204.54 "
153580,$50.00 ,5,N,Y,N,N,"$17,190.27 "
153928,$50.00 ,7,N,Y,N,N,$844.43 
153978,$50.00 ,1,N,N,N,N,"$279,502.08 "
154595,$30.00 ,2,N,Y,N,Y,"$187,783.68 "
155392,$30.00 ,5,Y,Y,N,Y,"$45,726.93 "
155969,$50.00 ,9,N,N,N,N,"$383,750.95 "
157376,$50.00 ,2,N,N,N,N,"$343,939.07 "
157588,$50.00 ,6,N,Y,N,Y,"$223,228.49 "
158476,$30.00 ,9,N,N,N,N,"$462,866.47 "
159049,$50.00 ,2,N,N,N,N,"$387,897.69 "
159268,$30.00 ,7,N,Y,N,N,"$30,438.19 "
160284,$50.00 ,7,Y,N,N,Y,"$155,098.79 "
160577,$50.00 ,2,N,Y,N,N,"$134,057.87 "
161273,$50.00 ,5,Y,Y,Y,N,"$467,075.29 "
161538,$30.00 ,7,N,Y,N,Y,"$454,004.71 "
161842,$30.00 ,1,N,N,N,Y,"$453,608.84 "
163247,$50.00 ,10,N,Y,N,Y,"$158,866.01 "
163779,$50.00 ,5,N,Y,N,Y,"$327,836.56 "
164291,$30.00 ,1,N,N,N,N,"$376,199.93 "
164300,$30.00 ,1,N,Y,N,N,"$166,306.90 "
164372,$50.00 ,7,Y,Y,N,N,"$128,221.29 "
164438,$50.00 ,1,N,N,N,Y,"$48,100.73 "
166804,$50.00 ,3,N,Y,N,N,"$240,856.28 "
169678,$50.00 ,1,N,Y,N,N,"$103,957.66 "
169957,$30.00 ,8,N,Y,N,N,"$451,862.93 "
170691,$50.00 ,9,Y,Y,N,N,"$256,269.54 "
171256,$50.00 ,8,N,N,N,N,"$413,606.34 "
172123,$30.00 ,8,N,Y,N,N,"$222,384.59 "
173133,$50.00 ,8,Y,Y,N,Y,"$12,089.06 "
176005,$50.00 ,12,N,N,N,N,"$185,469.63 "
176335,$30.00 ,7,N,Y,N,Y,"$429,492.33 "
176535,$50.00 ,1,N,N,Y,Y,"$341,827.26 "
178927,$50.00 ,17,Y,N,N,N,"$341,376.76 "
179852,$50.00 ,5,N,N,N,Y,"$17,566.05 "
181706,$50.00 ,1,N,Y,N,Y,"$61,161.38 "
182276,$30.00 ,5,N,Y,N,Y,"$220,952.50 "
182917,$50.00 ,6,Y,Y,N,N,"$269,258.86 "
183309,$50.00 ,2,N,Y,N,N,"$476,446.86 "
183671,$50.00 ,8,N,N,N,N,"$59,110.77 "
183738,$50.00 ,3,N,Y,Y,Y,"$173,843.90 "
184394,$50.00 ,20,N,Y,N,Y,"$120,385.67 "
184871,$50.00 ,6,N,N,Y,N,"$436,378.13 "
186245,$30.00 ,9,N,N,N,Y,"$468,117.43 "
186864,$50.00 ,6,Y,N,N,Y,"$256,742.02 "
187140,$50.00 ,8,N,Y,N,N,"$216,479.71 "
187997,$50.00 ,6,N,Y,N,N,"$297,026.65 "
188260,$50.00 ,1,Y,Y,N,N,"$43,454.44 "
191657,$30.00 ,5,N,N,N,N,"$12,718.48 "
192250,$50.00 ,1,Y,Y,N,N,"$15,630.00 "
192518,$50.00 ,9,N,Y,N,N,"$478,246.12 "
196398,$50.00 ,9,N,N,N,N,"$318,210.35 "
196961,$50.00 ,5,N,Y,N,N,"$98,041.48 "
199714,$50.00 ,6,N,Y,N,N,"$476,304.27 "
199846,$50.00 ,1,N,N,N,N,"$422,197.63 "
200901,$50.00 ,8,N,Y,N,N,"$463,117.73 "
203331,$50.00 ,5,N,N,N,Y,"$152,223.83 "
204206,$30.00 ,1,N,N,N,N,"$438,706.25 "
205021,$50.00 ,1,N,Y,N,N,"$140,156.26 "
205479,$50.00 ,1,N,Y,N,N,"$139,206.38 "
206777,$30.00 ,1,N,N,N,Y,"$119,292.60 "
206829,$50.00 ,7,N,Y,N,N,"$171,818.28 "
207453,$50.00 ,6,N,Y,N,Y,"$124,329.33 "
207609,$50.00 ,14,N,Y,N,Y,"$171,321.52 "
208045,$50.00 ,1,Y,Y,N,N,"$293,082.93 "
208082,$50.00 ,5,N,Y,N,N,"$491,562.38 "
208150,$50.00 ,8,Y,N,N,N,"$249,143.28 "
208530,$50.00 ,9,N,Y,N,N,"$95,069.75 "
208704,$50.00 ,8,Y,N,N,Y,"$301,565.22 "
209601,$50.00 ,2,N,N,N,N,"$220,606.10 "
209767,$50.00 ,5,N,N,N,N,"$380,228.77 "
209842,$30.00 ,1,N,N,N,N,"$112,025.17 "
210579,$50.00 ,12,N,Y,N,Y,"$259,767.59 "
211153,$30.00 ,19,N,N,N,N,"$306,663.54 "
211705,$50.00 ,1,Y,N,N,N,"$478,815.88 "
213400,$50.00 ,1,N,Y,N,Y,"$262,745.39 "
214334,$50.00 ,1,N,Y,N,Y,"$143,561.74 "
214568,$50.00 ,2,Y,Y,N,N,"$8,947.00 "
214902,$50.00 ,8,N,Y,N,N,"$322,462.98 "
215160,$50.00 ,1,N,N,N,Y,"$340,631.07 "
215432,$50.00 ,2,Y,Y,N,Y,"$118,470.00 "
216812,$50.00 ,8,N,Y,N,N,"$408,587.63 "
218861,$50.00 ,3,N,Y,Y,N,"$30,853.84 "
219756,$50.00 ,8,N,Y,N,N,"$172,091.95 "
221537,$30.00 ,5,Y,Y,N,Y,"$438,646.49 "
222619,$50.00 ,2,N,Y,N,Y,"$304,148.35 "
222784,$50.00 ,1,N,N,N,N,"$4,591.45 "
223067,$50.00 ,19,N,Y,N,N,"$145,212.67 "
223933,$50.00 ,8,Y,N,N,Y,"$239,641.19 "
224891,$50.00 ,7,N,Y,N,N,"$115,607.36 "
226259,$50.00 ,10,N,Y,N,N,"$498,462.85 "
226912,$50.00 ,1,Y,Y,N,N,"$268,906.52 "
227399,$30.00 ,8,N,Y,N,N,"$477,056.05 "
228680,$50.00 ,3,N,N,Y,Y,"$306,786.28 "
230034,$50.00 ,8,Y,N,N,N,"$290,714.66 "
230324,$50.00 ,1,N,Y,N,N,"$293,931.03 "
232202,$50.00 ,5,N,Y,Y,N,"$132,783.75 "
233848,$50.00 ,12,Y,Y,N,Y,"$429,682.63 "
235412,$30.00 ,1,N,Y,N,N,"$175,708.67 "
236360,$50.00 ,19,N,Y,N,Y,"$159,301.97 "
236393,$50.00 ,19,N,N,N,N,"$278,619.38 "
238757,$50.00 ,8,N,Y,N,Y,"$455,802.88 "
238950,$50.00 ,5,Y,Y,N,N,"$217,039.81 "
239040,$30.00 ,6,N,Y,N,Y,"$38,137.19 "
242224,$50.00 ,1,N,Y,Y,N,"$320,271.01 "
246109,$50.00 ,1,N,N,N,Y,"$58,369.74 "
246677,$50.00 ,1,N,Y,N,Y,"$441,895.63 "
247325,$50.00 ,1,Y,Y,N,Y,"$129,851.22 "
250118,$50.00 ,2,N,Y,N,N,"$84,079.44 "
250332,$30.00 ,12,N,Y,N,Y,"$242,490.06 "
251888,$50.00 ,8,N,Y,N,Y,"$130,146.45 "
252206,$30.00 ,1,N,Y,N,Y,"$118,979.29 "
252795,$50.00 ,7,Y,Y,N,N,"$37,876.28 "
